,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
694,The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,2.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11203.0,40.662447,-73.936382,9.0,41.0,876.0,3107129.0,3048060001.0,Prospect Lefferts Gardens-Wingate                                          
695,M.S. M245 The Computer School |  The Anderson School |  P.S. 452 |  100 WEST  77 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10024.0,40.780822,-73.976855,7.0,6.0,161.0,1030178.0,1011480014.0,Upper West Side                                                            
696,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION ,4.0,2.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11215.0,40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         
697,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11225.0,40.666181,-73.949013,9.0,35.0,319.0,3034181.0,3012970026.0,Crown Heights South                                                        
698,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11208.0,40.68618,-73.869625,5.0,37.0,1184.0,3092456.0,3041340020.0,Cypress Hills-City Line                                                    
699,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10003.0,40.732447,-73.983031,6.0,2.0,48.0,1020419.0,1009220008.0,Gramercy                                                                   
700,P.S. 035,1.0,3.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10009.0,40.729589,-73.982555,3.0,2.0,34.0,1005974.0,1004390017.0,East Village                                                               
701,P.S. 011 William T. Harris,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          
702,P.S. 151 Lyndon B. Johnson,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11210.0,40.632562,-73.954724,14.0,45.0,772.0,3205780.0,3075510026.0,Flatbush                                                                   
703,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",4.0,5.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11237.0,40.69697,-73.910791,4.0,37.0,435.0,3076908.0,3033650098.0,Bushwick North                                                             
704,Brownsville Academy High School,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11238.0,40.678488,-73.962105,8.0,35.0,305.0,3027982.0,3011410005.0,Crown Heights North                                                        
705,Park East High School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10035.0,40.807383,-73.939433,11.0,9.0,206.0,1054156.0,1017520022.0,Central Harlem North-Polo Grounds                                          
706,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10035.0,40.801007,-73.939349,11.0,8.0,196.0,1083501.0,1017680021.0,East Harlem North                                                          
707,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10035.0,40.801007,-73.939349,11.0,8.0,196.0,1083501.0,1017680021.0,East Harlem North                                                          
708,Transit Tech Career and Technical Education High S,2.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11235.0,40.582585,-73.963477,13.0,48.0,366.0,3196378.0,3072610201.0,Brighton Beach                                                             
709,The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11201.0,40.694682,-73.988853,2.0,33.0,11.0,3331741.0,3001400010.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
710,"M.S. 267 Math, Science & Technology| Bedford Stuyvesant Collegiate Charter School| La Cima Charter School| 800 GATES AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11221.0,40.68832,-73.932275,3.0,36.0,293.0,3044657.0,3016360001.0,Stuyvesant Heights                                                         
711,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10035.0,40.797467,-73.930868,11.0,8.0,192.0,1084005.0,1018160001.0,East Harlem North                                                          
712,P.S. 115 Daniel Mucatel School,2.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11236.0,40.635015,-73.897262,18.0,46.0,1008.0,3232559.0,3082560001.0,Canarsie                                                                   
713,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11228.0,40.624132,-74.018826,10.0,43.0,206.0,3150481.0,3059730001.0,Dyker Heights                                                              
714,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11234.0,40.621224,-73.91287,18.0,46.0,69602.0,3236496.0,3083880002.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
715,P.S. 164 Caesar Rodney,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11212.0,40.65744,-73.911053,16.0,42.0,896.0,3082726.0,3036220023.0,Brownsville                                                                
716,P.S. 065,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11201.0,40.684524,-73.990993,6.0,33.0,69.0,3006356.0,3003970011.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
717,P.S. 091 The Albany Avenue School,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11203.0,40.661886,-73.93994,9.0,41.0,806.0,3106599.0,3047940026.0,Prospect Lefferts Gardens-Wingate                                          
718,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11212.0,40.665965,-73.918107,16.0,41.0,900.0,3081276.0,3035350016.0,Brownsville                                                                
719,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11238.0,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
720,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0.0,2.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
721,Clara Barton High School,1.0,8.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11222.0,40.721981,-73.953281,1.0,33.0,517.0,3066698.0,3026700001.0,North Side-South Side                                                      
722,Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,2.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,,,,,,,,,
723,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
724,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11221.0,40.692126,-73.931731,3.0,36.0,291.0,3393805.0,3016160001.0,Stuyvesant Heights                                                         
725,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10019.0,40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
726,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
727,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10038.0,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
728,P.S. 207 Elizabeth G. Leary,1.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11203.0,40.642031,-73.931151,17.0,45.0,840.0,3105680.0,3047690025.0,East Flatbush-Farragut                                                     
729,P.S. 178 Saint Clair Mckelway,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11218.0,40.640463,-73.977642,12.0,39.0,488.0,3126001.0,3053710001.0,Kensington-Ocean Parkway                                                   
730,M.S. 180 Dr. Daniel Hale Williams,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10451.0,40.813641,-73.925313,1.0,8.0,51.0,2000957.0,2023330070.0,Mott Haven-Port Morris                                                     
731,"M.S. 267 Math, Science & Technology| Bedford Stuyvesant Collegiate Charter School| La Cima Charter School| 800 GATES AVENUE CONSOLIDATED LOCATION",0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11212.0,40.668475,-73.912351,16.0,41.0,924.0,3081032.0,3035200008.0,Brownsville                                                                
732,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11215.0,40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         
733,Frances Perkins Academy | Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11222.0,40.721981,-73.953281,1.0,33.0,517.0,3066698.0,3026700001.0,North Side-South Side                                                      
734,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11218.0,40.63228,-73.973898,14.0,44.0,480.0,3127692.0,3054160048.0,Flatbush                                                                   
735,Vista Academy |  Liberty Avenue Middle School | ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL| 350 LINWOOD STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11208.0,40.677104,-73.883433,5.0,37.0,1170.0,3088357.0,3039690001.0,East New York                                                              
736,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,11203.0,40.658893,-73.942458,9.0,40.0,810.0,3107227.0,3048110001.0,Prospect Lefferts Gardens-Wingate                                          
737,P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11204.0,40.615252,-73.97635,12.0,44.0,446.0,3172071.0,3065490024.0,Borough Park                                                               
738,P.S. 106 Edward Everett Hale,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11221.0,40.693879,-73.913056,4.0,37.0,435.0,3077286.0,3033770001.0,Bushwick North                                                             
739,P.S. 308 Clara Cardwell|  Teaching Firms of America-Professional Preparatory|  616 QUINCY STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11221.0,40.688695,-73.935499,3.0,36.0,293.0,3044493.0,3016300001.0,Stuyvesant Heights                                                         
740,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",,,4C,501-750,,,,,,11206.0,40.709941,-73.943641,1.0,34.0,505.0,3070825.0,3030250001.0,East Williamsburg                                                          
741,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,,,4C,501-750,,,,,,11231.0,40.680445,-73.991949,6.0,39.0,75.0,3395587.0,3004370001.0,Carroll Gardens-Columbia Street-Red Hook                                   
742,J.H.S. 057 Whitelaw Reid |  Fredrick Douglass Academy IV Secondary School |  The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11221.0,40.691274,-73.933697,3.0,36.0,291.0,3043822.0,3016160001.0,Stuyvesant Heights                                                         
743,P.S. 277 Gerritsen Beach,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11229.0,40.60665,-73.939176,15.0,46.0,666.0,3239889.0,3084960100.0,park-cemetery-etc-Brooklyn                                                 
744,P.S. 046 Arthur Tappan,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10010.0,40.738548,-73.982455,6.0,2.0,64.0,,,Gramercy                                                                   
745,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10030.0,40.817372,-73.947712,10.0,9.0,22102.0,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          
746,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11204.0,40.627029,-73.989672,12.0,44.0,470.0,3130809.0,3054920001.0,Borough Park                                                               
747,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10029.0,40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
748,Ebbets Field Middle School |  P.S. 375 Jackie Robinson School |  46 MCKEEVER PLACE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11225.0,40.665035,-73.959031,9.0,35.0,325.0,3034356.0,3013010001.0,Crown Heights South                                                        
749,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10035.0,40.805953,-73.935179,11.0,9.0,242.0,1054502.0,1017760020.0,East Harlem North                                                          
750,P.S. 005 Dr. Ronald Mcnair,1.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11233.0,40.685695,-73.922463,3.0,41.0,377.0,3039906.0,3014900001.0,Stuyvesant Heights                                                         
751,P.S. 97 The Highlawn,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11223.0,40.601433,-73.986139,11.0,47.0,404.0,3177680.0,3066670024.0,Bensonhurst East                                                           
752,Stuyvesant High School,3.0,0.0,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
