,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
279,2016 - 17,Manhattan Charter School II,M080,M,1,850.0,220 HENRY STREET CONSOLIDATED LOCATION,1,583.0,PS 050M,J.H.S. 054 Booker T. Washington,0.0,2.0,1.0
280,2016 - 17,I.S. 340,K340,K,13,322.0,,1,296.0,PS 326K,IS 364 ANNEX(BN),0.0,3.0,4.0
281,2016 - 17,P.S. 268 Emma Lazarus,K268,K,18,401.0,,1,42.0,MS 323K,Dr. Susan S. McKinney Secondary School of the Arts,1.0,1.0,6.0
282,2016 - 17,P.S. 109,K109,K,22,1282.0,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188.0,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,0.0,3.0,2.0
283,2016 - 17,P.S. 042 Benjamin Altman,M042,M,2,699.0,,1,682.0,PS 034M,P.S. 041 Greenwich Village,0.0,0.0,1.0
284,2016 - 17,134 WEST 122 STREET CONSOLIDATED LOCATION,M144,M,3,379.0,134 WEST 122 STREET CONSOLIDATED LOCATION,2,697.0,PS 140M,P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION,,,
285,2016 - 17,P.S. 176 Ovington,K176,K,20,310.0,226 BRISTOL STREET CONSOLIDATED LOCATION,2,1141.0,PS 174K,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,,,
286,2016 - 17,Brooklyn Bridge Academy,K578,K,18,340.0,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,145.0,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,,
287,2016 - 17,Khalil Gibran International Academy,K592,K,15,1173.0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232.0,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",0.0,7.0,23.0
288,2016 - 17,P.S. 192 - The Magnet School for Math and Science,K192,K,20,192.0,,1,307.0,PS/IS 189K,P.S. 191 Paul Robeson,0.0,3.0,2.0
289,2016 - 17,Brooklyn Secondary School for Collaborative Studie,K448,K,15,1333.0,610 HENRY STREET CONSOLIDATED LOCATION,2,234.0,PS 139K,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION,2.0,4.0,2.0
290,2016 - 17,P.S. 748 Brooklyn School for Global Scholars,K748,K,20,425.0,,1,238.0,PS 161K,J.H.S. 162 The Willoughby,0.0,0.0,4.0
291,2016 - 17,The Urban Assembly School for Global Commerce,M157,M,5,451.0,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537.0,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",,,
292,2016 - 17,Muscota,M314,M,6,703.0,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,2,545.0,IS 167M,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,0.0,0.0,1.0
293,2016 - 17,"Brooklyn Community High School of Communication, A",K412,K,13,410.0,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,86.0,PS 116K,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",,,
294,2016 - 17,443 ST MARKS AVENUE CONSOLIDATED LOCATION,K022,K,17,871.0,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,1182.0,PS 21K,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,1.0,1.0,6.0
